19/06/2020,1
20/06/2020,
21/06/2020,1
22/06/2020,3
23/06/2020,2
24/06/2020,
25/06/2020,
26/06/2020,3
27/06/2020,1
28/06/2020,
29/06/2020,
30/06/2020,4
01/07/2020,1
02/07/2020,7
03/07/2020,2
04/07/2020,2
05/07/2020,
06/07/2020,
07/07/2020,1
08/07/2020,
09/07/2020,17
10/07/2020,
11/07/2020,
12/07/2020,
13/07/2020,1
14/07/2020,1
15/07/2020,1
16/07/2020,1
17/07/2020,
18/07/2020,
19/07/2020,
20/07/2020,
21/07/2020,
22/07/2020,
23/07/2020,
24/07/2020,
25/07/2020,
26/07/2020,
27/07/2020,
28/07/2020,
29/07/2020,
30/07/2020,
31/07/2020,
01/08/2020,
02/08/2020,
03/08/2020,
04/08/2020,
05/08/2020,
06/08/2020,
07/08/2020,
08/08/2020,
09/08/2020,
10/08/2020,
11/08/2020,
12/08/2020,
13/08/2020,
14/08/2020,
15/08/2020,
16/08/2020,
17/08/2020,
18/08/2020,
19/08/2020,
20/08/2020,
21/08/2020,
22/08/2020,
23/08/2020,
24/08/2020,
25/08/2020,0
26/08/2020,
27/08/2020,
28/08/2020,
29/08/2020,
30/08/2020,
31/08/2020,
01/09/2020,
02/09/2020,
03/09/2020,
04/09/2020,
05/09/2020,
06/09/2020,
07/09/2020,
08/09/2020,
09/09/2020,
10/09/2020,
11/09/2020,
12/09/2020,
13/09/2020,
14/09/2020,
15/09/2020,
16/09/2020,
17/09/2020,
18/09/2020,
19/09/2020,
20/09/2020,
21/09/2020,
22/09/2020,
23/09/2020,
24/09/2020,
25/09/2020,
26/09/2020,
27/09/2020,
