20/06/2019,
21/06/2019,
22/06/2019,
23/06/2019,
24/06/2019,
25/06/2019,
26/06/2019,0
27/06/2019,
28/06/2019,
29/06/2019,
30/06/2019,
01/07/2019,0
02/07/2019,0
03/07/2019,
04/07/2019,
05/07/2019,
06/07/2019,
07/07/2019,
08/07/2019,
09/07/2019,
10/07/2019,
11/07/2019,
12/07/2019,
13/07/2019,
14/07/2019,
15/07/2019,
16/07/2019,
17/07/2019,
18/07/2019,
19/07/2019,2
20/07/2019,
21/07/2019,
22/07/2019,
23/07/2019,
24/07/2019,
25/07/2019,0
26/07/2019,
27/07/2019,
28/07/2019,
29/07/2019,
30/07/2019,
31/07/2019,
01/08/2019,
02/08/2019,
03/08/2019,
04/08/2019,
05/08/2019,
06/08/2019,
07/08/2019,
08/08/2019,
09/08/2019,
10/08/2019,
11/08/2019,
12/08/2019,
13/08/2019,
14/08/2019,
15/08/2019,
16/08/2019,1
17/08/2019,0
18/08/2019,
19/08/2019,
20/08/2019,
21/08/2019,2
22/08/2019,
23/08/2019,1
24/08/2019,1
25/08/2019,
26/08/2019,
27/08/2019,
28/08/2019,
29/08/2019,
30/08/2019,
31/08/2019,
01/09/2019,
02/09/2019,
03/09/2019,0
04/09/2019,
05/09/2019,
06/09/2019,
07/09/2019,
08/09/2019,
09/09/2019,
10/09/2019,1
11/09/2019,
12/09/2019,
13/09/2019,
14/09/2019,
15/09/2019,
16/09/2019,
17/09/2019,
18/09/2019,
19/09/2019,
20/09/2019,
21/09/2019,
22/09/2019,
23/09/2019,
24/09/2019,
25/09/2019,
26/09/2019,
27/09/2019,
28/09/2019,
29/09/2019,
30/09/2019,
01/10/2019,
02/10/2019,
03/10/2019,
04/10/2019,
05/10/2019,
06/10/2019,0
07/10/2019,
18/11/2019,
19/11/2019,
