27/06/2019,2
28/06/2019,4
29/06/2019,
30/06/2019,4
01/07/2019,
02/07/2019,
03/07/2019,2
04/07/2019,6
05/07/2019,30
06/07/2019,26
07/07/2019,
08/07/2019,
09/07/2019,
10/07/2019,10
11/07/2019,16
12/07/2019,8
13/07/2019,2
14/07/2019,2
15/07/2019,10
16/07/2019,18
17/07/2019,12
18/07/2019,6
19/07/2019,4
20/07/2019,4
21/07/2019,8
22/07/2019,44
23/07/2019,6
24/07/2019,6
25/07/2019,6
26/07/2019,0
27/07/2019,4
28/07/2019,8
29/07/2019,4
30/07/2019,0
31/07/2019,2
01/08/2019,2
02/08/2019,10
03/08/2019,14
04/08/2019,6
05/08/2019,4
06/08/2019,
07/08/2019,2
08/08/2019,2
09/08/2019,
10/08/2019,
11/08/2019,
12/08/2019,
13/08/2019,2
14/08/2019,2
15/08/2019,
16/08/2019,
17/08/2019,0
18/08/2019,0
19/08/2019,
20/08/2019,
21/08/2019,
22/08/2019,
23/08/2019,
24/08/2019,
25/08/2019,
26/08/2019,0
27/08/2019,
28/08/2019,
29/08/2019,2
